experiment;total_predictions;correct_predictions;not_embedded_sentences;accuracy
AOC/en/multi/NoSpec/1/Average;96;5;4;5.208333333333334
AOC/en/multi/NoSpec/2/Average;96;4;4;4.166666666666666
AOC/en/multi/NoSpec/3/Average;96;4;4;4.166666666666666
AOC/en/multi/NoSpec/4/Average;96;4;4;4.166666666666666
AOC/en/multi/NoSpec/5/Average;96;4;4;4.166666666666666
AOC/en/multi/NoSpec/6/Average;96;5;4;5.208333333333334
AOC/en/multi/NoSpec/7/Average;96;5;4;5.208333333333334
AOC/en/multi/NoSpec/8/Average;96;5;4;5.208333333333334
AOC/en/multi/NoSpec/9/Average;96;5;4;5.208333333333334
AOC/en/multi/NoSpec/10/Average;96;4;4;4.166666666666666
AOC/en/multi/NoSpec/11/Average;96;4;4;4.166666666666666
AOC/en/multi/NoSpec/12/Average;96;4;4;4.166666666666666
AOC/en/multi/NoSpec/0/First;96;4;4;4.166666666666666
AOC/en/multi/NoSpec/1/First;96;4;4;4.166666666666666
AOC/en/multi/NoSpec/2/First;96;5;4;5.208333333333334
AOC/en/multi/NoSpec/3/First;96;5;4;5.208333333333334
AOC/en/multi/NoSpec/4/First;96;4;4;4.166666666666666
AOC/en/multi/NoSpec/5/First;96;4;4;4.166666666666666
